mode,mode_label,rho,seed,target_cell,target_rank_benign,target_rank_attacked,target_rank_lift,false_hotspot_at20,top20_jaccard,accepted_malicious_to_target,malicious_reports,target_pollution_rate,false_reject_rate,n_users,rounds,epsilon,tau,tau2,k_window,cap_ratio,cap_policy_m,reach_cells,reach_fraction
no_integrity,No integrity,0.2,2,3153,10001,2,19,1,0.5714285714285714,20,20,1.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_only,TSIP-only,0.2,2,3153,10001,5,16,1,0.5714285714285714,3,20,0.15,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_external,TSIP + external layer,0.2,2,3153,10001,10001,0,0,0.6666666666666666,2,20,0.1,0.0375,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
no_integrity,No integrity,0.3,2,3153,10001,2,19,1,0.5714285714285714,30,30,1.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_only,TSIP-only,0.3,2,3153,10001,5,16,1,0.5714285714285714,3,30,0.1,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_external,TSIP + external layer,0.3,2,3153,10001,10001,0,0,0.6666666666666666,2,30,0.06666666666666667,0.04285714285714286,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
no_integrity,No integrity,0.01,3,3153,10001,10001,0,0,0.8333333333333334,1,1,1.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_only,TSIP-only,0.01,3,3153,10001,10001,0,0,1.0,0,1,0.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_external,TSIP + external layer,0.01,3,3153,10001,10001,0,0,1.0,0,1,0.0,0.010101010101010102,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
no_integrity,No integrity,0.02,3,3153,10001,10001,0,0,0.8333333333333334,2,2,1.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_only,TSIP-only,0.02,3,3153,10001,10001,0,0,1.0,1,2,0.5,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_external,TSIP + external layer,0.02,3,3153,10001,10001,0,0,1.0,0,2,0.0,0.01020408163265306,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
no_integrity,No integrity,0.05,3,3153,10001,4,17,1,0.8571428571428571,5,5,1.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_only,TSIP-only,0.05,3,3153,10001,10001,0,0,1.0,1,5,0.2,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_external,TSIP + external layer,0.05,3,3153,10001,10001,0,0,1.0,0,5,0.0,0.010526315789473684,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
no_integrity,No integrity,0.1,3,3153,10001,2,19,1,0.7142857142857143,10,10,1.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_only,TSIP-only,0.1,3,3153,10001,10001,0,0,1.0,2,10,0.2,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_external,TSIP + external layer,0.1,3,3153,10001,10001,0,0,1.0,0,10,0.0,0.011111111111111112,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
no_integrity,No integrity,0.2,3,3153,10001,2,19,1,0.5714285714285714,20,20,1.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_only,TSIP-only,0.2,3,3153,10001,10001,0,0,1.0,2,20,0.1,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_external,TSIP + external layer,0.2,3,3153,10001,10001,0,0,1.0,0,20,0.0,0.0125,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
no_integrity,No integrity,0.3,3,3153,10001,2,19,1,0.5714285714285714,30,30,1.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_only,TSIP-only,0.3,3,3153,10001,10001,0,0,1.0,2,30,0.06666666666666667,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_external,TSIP + external layer,0.3,3,3153,10001,10001,0,0,1.0,0,30,0.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
no_integrity,No integrity,0.01,4,3153,10001,10001,0,0,0.8333333333333334,1,1,1.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_only,TSIP-only,0.01,4,3153,10001,10001,0,0,1.0,0,1,0.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_external,TSIP + external layer,0.01,4,3153,10001,10001,0,0,0.6666666666666666,0,1,0.0,0.010101010101010102,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
no_integrity,No integrity,0.02,4,3153,10001,10001,0,0,0.8333333333333334,2,2,1.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_only,TSIP-only,0.02,4,3153,10001,10001,0,0,1.0,0,2,0.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_external,TSIP + external layer,0.02,4,3153,10001,10001,0,0,0.6666666666666666,0,2,0.0,0.01020408163265306,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
no_integrity,No integrity,0.05,4,3153,10001,4,17,1,0.5714285714285714,5,5,1.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_only,TSIP-only,0.05,4,3153,10001,10001,0,0,1.0,0,5,0.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_external,TSIP + external layer,0.05,4,3153,10001,10001,0,0,0.6666666666666666,0,5,0.0,0.010526315789473684,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
no_integrity,No integrity,0.1,4,3153,10001,2,19,1,0.5714285714285714,10,10,1.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
tsip_only,TSIP-only,0.1,4,3153,10001,10001,0,0,1.0,0,10,0.0,0.0,100,1,1.0,3.0,3.0,6,0.5,3300.0,3409,0.3409
